Date,Daily Average,Record High Daily Average,Year1,Record Low Daily Average,Year2,Average High,Lowest High,Year3,Record High,Year4,Average Low,Highest Low,Year5,Record Low,Year6,Years
01-Jan,72.1,80.4,2022,66.3,2001,73.4,69.1,2001,81.1,2022,70.9,79.9,2022,63.9,2001,25
02-Jan,72.0,80.2,2022,67.0,2001,73.4,69.3,1998,81.0,2022,70.8,79.5,2022,64.4,2001,25
03-Jan,72.0,80.0,2022,67.7,2001,73.3,69.8,1998,80.2,2022,70.7,79.7,2022,65.5,2001,25
04-Jan,71.9,78.7,2022,67.1,2010,73.2,70.0,2012,79.7,2022,70.6,77.9,2022,64.8,2002,25
05-Jan,71.8,78.1,2022,65.7,2001,73.2,68.5,2001,78.6,2022,70.6,77.4,2022,63.7,2010,26
06-Jan,71.7,77.9,2022,64.7,2001,73.1,66.2,2001,78.4,2022,70.5,76.6,2022,61.9,2010,25
07-Jan,71.7,78.5,2022,65.0,2010,73.0,67.1,2002,79.5,2022,70.4,77.2,2022,61.8,2010,24
08-Jan,71.6,78.7,2022,64.8,2010,73.0,67.5,2011,79.3,2022,70.4,77.9,2022,62.5,2010,25
09-Jan,71.6,78.3,2022,64.5,2010,72.9,66.6,1996,79.0,2022,70.3,77.5,2022,60.9,2010,25
10-Jan,71.5,78.2,2022,64.5,1996,72.9,67.3,1996,79.2,2022,70.3,77.2,2022,61.3,2010,24
11-Jan,71.5,78.2,2022,64.3,2010,72.8,68.0,2010,79.0,2022,70.2,77.5,2022,61.0,2010,24
12-Jan,71.4,77.1,2022,65.3,2010,72.8,68.9,2001,77.9,2022,70.2,76.6,2022,62.3,2010,24
13-Jan,71.4,76.6,2022,65.2,2010,72.8,68.0,1996,77.5,2022,70.2,75.9,2022,62.5,2010,24
14-Jan,71.4,75.9,2020,66.0,1996,72.7,68.7,1996,76.5,2022,70.1,75.0,2020,62.3,2010,24
15-Jan,71.3,75.8,2020,66.3,2011,72.7,68.7,2011,76.3,2022,70.1,75.0,2020,63.9,2010,26
16-Jan,71.3,75.8,2020,67.2,2012,72.7,68.9,2012,76.3,2020,70.1,75.0,2020,65.1,2010,25
17-Jan,71.3,75.7,2020,66.3,2012,72.7,67.3,2012,76.1,2020,70.1,75.0,2020,65.3,2012,24
18-Jan,71.3,74.1,2020,66.8,2012,72.6,68.2,2012,75.2,2019,70.0,73.4,2020,64.0,1997,23
